id,timestamp,sensor_value,status
1,2025-01-01 00:00:00,82.89,error
2,2025-01-01 00:01:00,79.6,ok
3,2025-01-01 00:02:00,74.55,error
4,2025-01-01 00:03:00,80.46,warning
5,2025-01-01 00:04:00,48.57,ok
6,2025-01-01 00:05:00,52.04,error
7,2025-01-01 00:06:00,23.65,warning
8,2025-01-01 00:07:00,40.73,warning
9,2025-01-01 00:08:00,55.65,error
10,2025-01-01 00:09:00,18.62,error
11,2025-01-01 00:10:00,39.03,ok
12,2025-01-01 00:11:00,70.64,error
13,2025-01-01 00:12:00,75.45,warning
14,2025-01-01 00:13:00,68.94,warning
15,2025-01-01 00:14:00,93.69,warning
16,2025-01-01 00:15:00,96.15,ok
17,2025-01-01 00:16:00,50.85,warning
18,2025-01-01 00:17:00,60.75,warning
19,2025-01-01 00:18:00,13.02,ok
20,2025-01-01 00:19:00,39.28,ok
21,2025-01-01 00:20:00,82.54,ok
22,2025-01-01 00:21:00,61.14,error
23,2025-01-01 00:22:00,68.25,warning
24,2025-01-01 00:23:00,58.6,warning
25,2025-01-01 00:24:00,45.75,ok
26,2025-01-01 00:25:00,44.26,ok
27,2025-01-01 00:26:00,21.71,warning
28,2025-01-01 00:27:00,65.3,error
29,2025-01-01 00:28:00,96.98,ok
30,2025-01-01 00:29:00,53.16,ok
31,2025-01-01 00:30:00,56.44,error
32,2025-01-01 00:31:00,35.29,ok
33,2025-01-01 00:32:00,39.83,warning
34,2025-01-01 00:33:00,54.79,ok
35,2025-01-01 00:34:00,39.8,error
36,2025-01-01 00:35:00,51.87,warning
37,2025-01-01 00:36:00,51.7,warning
38,2025-01-01 00:37:00,99.85,ok
39,2025-01-01 00:38:00,18.09,error
40,2025-01-01 00:39:00,86.83,ok
41,2025-01-01 00:40:00,86.88,ok
42,2025-01-01 00:41:00,44.71,warning
43,2025-01-01 00:42:00,58.37,ok
44,2025-01-01 00:43:00,74.98,error
45,2025-01-01 00:44:00,54.86,warning
46,2025-01-01 00:45:00,45.87,warning
47,2025-01-01 00:46:00,12.03,warning
48,2025-01-01 00:47:00,69.9,ok
49,2025-01-01 00:48:00,69.95,error
50,2025-01-01 00:49:00,65.42,ok
51,2025-01-01 00:50:00,21.78,error
52,2025-01-01 00:51:00,43.09,error
53,2025-01-01 00:52:00,63.06,error
54,2025-01-01 00:53:00,59.28,warning
55,2025-01-01 00:54:00,23.73,warning
56,2025-01-01 00:55:00,37.33,error
57,2025-01-01 00:56:00,88.77,warning
58,2025-01-01 00:57:00,18.23,warning
59,2025-01-01 00:58:00,64.85,warning
60,2025-01-01 00:59:00,57.22,ok
61,2025-01-01 01:00:00,18.65,error
62,2025-01-01 01:01:00,11.83,ok
63,2025-01-01 01:02:00,23.22,error
64,2025-01-01 01:03:00,41.4,error
65,2025-01-01 01:04:00,92.47,ok
66,2025-01-01 01:05:00,65.76,ok
67,2025-01-01 01:06:00,55.35,ok
68,2025-01-01 01:07:00,44.25,error
69,2025-01-01 01:08:00,55.39,ok
70,2025-01-01 01:09:00,57.64,error
71,2025-01-01 01:10:00,90.7,warning
72,2025-01-01 01:11:00,17.25,warning
73,2025-01-01 01:12:00,41.48,error
74,2025-01-01 01:13:00,74.79,error
75,2025-01-01 01:14:00,70.26,warning
76,2025-01-01 01:15:00,44.25,warning
77,2025-01-01 01:16:00,97.81,error
78,2025-01-01 01:17:00,75.32,error
79,2025-01-01 01:18:00,70.91,warning
